Clade	Subtype
CladeC	C15.21_KC597683
CladeC	C15.22_KC597695
CladeC	C15.23_KC597697
CladeC	C15.24_KC597696
CladeC	C15.25_KC597685
CladeC	C15.26_KC597686
CladeC	C15.27_KC597689
CladeC	C15.28_KC597687
CladeC	C15.29_KC597690
CladeC	C15.30_JX394114
CladeC	C17.21_KC597684
CladeC	C21.22_KC597692
CladeC	C21.23_KC597693
CladeC	C15.9_FN563475
CladeC	C15.6_FN563472
CladeC	C3.15_FK529649
CladeC	C3.16_EU786015
CladeC	C1_AF333515
CladeC	C1a_AF499788
CladeC	C1b/C1e_AY239363
CladeC	C1b.1_HE578997
CladeC	C1b.2_HE578998
CladeC	C1b.3_HE578999
CladeC	C1c/C45_AY239364
CladeC	C1d_AY258488
CladeC	C1f_AY258490
CladeC	C1g_AY589730
CladeC	C1h_AY258473
CladeC	C1i_AY589731
CladeC	C1j_AY589732
CladeC	C1k_AY589733
CladeC	C1m_AY765398
CladeC	C2_AF333518
CladeC	C3_AF499789
CladeC	C3a_AF499790
CladeC	C3b_AF499791
CladeC	C3e_AF499793
CladeC	C3f_AY589734
CladeC	C3g_AY589735
CladeC	C3h_AY239365
CladeC	C3ha_AY589736
CladeC	C3j_AY239366
CladeC	C3k_AY589737
CladeC	C3L_AY589738
CladeC	C3t_EF541149
CladeC	C4_AF499794
CladeC	C5_AF499795
CladeC	C6_AF499796
CladeC	C7_AF499797
CladeC	C8_AY239367
CladeC	C8a_AY239368
CladeC	C8b_AY258475
CladeC	C9_AF499798
CladeC	C10_AF499799
CladeC	C10a_AY589739
CladeC	C11_AF499800
CladeC	C12_AF499801
CladeC	C13_AY589740
CladeC	C14_AY589741
CladeC	C15_AY239369
CladeC	C15a_AY258476
CladeC	C15b_AY258491
CladeC	C15c_AY258492
CladeC	C15d_AY258493
CladeC	C15e_AY589742
CladeC	C15f_AY589743
CladeC	C16_AY258477
CladeC	C16a_AY765399
CladeC	C17_AY239370
CladeC	C18_AY258478
CladeC	C19_AY258479
CladeC	C20_AY239371
CladeC	C21/3d/C3k_AY239372
CladeC	C21a_AY589744
CladeC	C21_b1_FN827162
CladeC	C22_AY239373
CladeC	C22a_AY239374
CladeC	C23_AY239375
CladeC	C24_AY239376
CladeC	C25_AY239377
CladeC	C26/C35a_AY239378
CladeC	C26_b1_FN827163
CladeC	C26_b2_FN827164
CladeC	C26_b3_FN827165
CladeC	C27/C30_AY239379
CladeC	C28_AY239380
CladeC	C29_AY258494
CladeC	C30_AY589745
CladeC	C31_AY258496
CladeC	C31a_AY589746
CladeC	C32_AY258497
CladeC	C33.1_AY258498
CladeC	C33.2_AY765400
CladeC	C33a_EF541147
CladeC	C34_AY258499
CladeC	C35.1_AY765401
CladeC	C35.2_AY258500
CladeC	C35.3_EF541145
CladeC	C35a_AY258501
CladeC	C36_AY258480
CladeC	C37_AY258481
CladeC	C38_AY258482
CladeC	C38a_AY258483
CladeC	C39_AY258484
CladeC	C40_AY258485
CladeC	C40a_AY589747
CladeC	C40b_AY589748
CladeC	C41_AY258486
CladeC	C42_AY258487
CladeC	C42_AY765402
CladeC	C42b_AY765403
CladeC	C43_AY589749
CladeC	C44_AY589750
CladeC	C44a_AY589751
CladeC	C45a_AY765404
CladeC	C46a_AY765405
CladeC	C47_AY589752
CladeC	C48_AY589753
CladeC	C49_AY589754
CladeC	C50_AY589755
CladeC	C51_AY589756
CladeC	C52_AY589757
CladeC	C53_AY589758
CladeC	C54a_AY765406
CladeC	C55_AY589759
CladeC	C56_AY589760
CladeC	C57_AY589761
CladeC	C58_AY589762
CladeC	C59_AY589763
CladeC	C60_AY589764
CladeC	C61_AY589765
CladeC	C62_AY589766
CladeC	C63a_AY589767
CladeC	C64_AY589768
CladeC	C65_AY589769
CladeC	C65a_AY589770
CladeC	C66_AY589771
CladeC	C67_AY686647
CladeC	C69_AY589773
CladeC	C69a_AY686648
CladeC	C70_AY589774
CladeC	C71_AY589775
CladeC	C71a_AY589776
CladeC	C72_AY765407
CladeC	C73_AY765408
CladeC	C74_AY765409
CladeC	C75_AY765410
CladeC	C76_AY765411
CladeC	C77_AY765412
CladeC	C78_AY765413
CladeC	C79_AY765414
CladeC	C90_AM748554
CladeC	C91_AJ621543
CladeC	C91a_AM748556
CladeC	C91b_AM748557
CladeC	C91c_AM748558
CladeC	C91d_AM748559
CladeC	C92_AM748560
CladeC	C92a_AM748561
CladeC	C93_AJ621536
CladeC	C93_AM748562
CladeC	C93a_AM748563
CladeC	C94_AJ621539
CladeC	C1_v1a_FJ919243
CladeC	C1_v1b_FJ919244
CladeC	C1.1_
CladeC	C1.2_
CladeC	C1.3_
CladeC	C1.4_
CladeC	C1.5_EF634157
CladeC	C1.10_HE578983
CladeC	C1.11_HE578984
CladeC	C1.12_HE578985
CladeC	C1.13_HE578986
CladeC	C1.14_HE578987
CladeC	C1.15_HE578988
CladeC	C1.17_HE578990
CladeC	C1.18_HE578991
CladeC	C1.19_HE578992
CladeC	C1.20_HE578993
CladeC	C1.22_HE578995
CladeC	C1.6_FJ461493
CladeC	C1.7_FJ461494
CladeC	C1.8_EU074955
CladeC	C1.9_
CladeC	C3.1_JF683321
CladeC	C3.2_FJ461497
CladeC	C3.3_
CladeC	C3.4_
CladeC	C3.5_
CladeC	C3.6_
CladeC	C3.7_FJ461502
CladeC	C3.8_FJ461503
CladeC	C3.9_FJ461504
CladeC	C3.10_FJ461505
CladeC	C3.11_FJ461506
CladeC	C3.12_FJ461507
CladeC	C3.14_HQ630872
CladeC	C3.17_HE579005
